Player,Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Opponent
S Samarawickrama ,Sri Lanka,3,3,0,188,93,62.66,191,98.42,0,2,0,18,2,Bangladesh
MD Gunathilaka ,Sri Lanka,3,3,0,187,96,62.33,195,95.89,0,2,0,23,3,West Indies
AD Mathews ,Sri Lanka,4,4,1,187,87,62.33,199,93.96,0,2,1,18,1,Bangladesh
KL Rahul ,India,3,3,2,187,111*,187.00,213,87.79,1,1,0,17,4,Pakistan
KL Rahul ,India,8,7,0,187,56,26.71,264,70.83,0,2,0,17,0,South Africa
DJ Malan ,England,4,4,0,186,134,46.50,199,93.46,1,1,1,16,5,Australia
Babar Azam ,Pakistan,4,4,0,185,115,46.25,181,102.20,1,0,0,14,4,Sri Lanka
Mushfiqur Rahim ,Bangladesh,5,5,0,185,70,37.00,246,75.20,0,2,0,12,1,England
MD Shanaka ,Sri Lanka,8,8,1,185,108*,26.42,210,88.09,1,0,2,18,4,India
KS Williamson ,New Zealand,2,2,0,182,148,91.00,204,89.21,1,0,0,18,1,West Indies
E Lewis ,West Indies,3,3,0,181,103,60.33,227,79.73,1,1,0,14,6,Sri Lanka
KIC Asalanka ,Sri Lanka,3,3,1,180,108,90.00,220,81.81,1,1,0,12,6,Bangladesh
RA Jadeja ,India,6,4,2,179,77,89.50,183,97.81,0,2,0,10,6,New Zealand
Najmul Hossain Shanto ,Bangladesh,2,2,0,179,90,89.50,223,80.26,0,2,0,19,0,Sri Lanka
MJ Guptill ,New Zealand,4,4,0,178,79,44.50,180,98.88,0,2,0,15,7,India
Imam-ul-Haq ,Pakistan,2,2,0,178,100,89.00,184,96.73,1,1,0,12,4,Bangladesh
MR Marsh ,Australia,1,1,1,177,177*,-,132,134.09,1,0,0,17,9,Bangladesh
SS Iyer ,India,4,4,0,176,82,44.00,145,121.37,0,1,0,13,8,Sri Lanka
AK Markram ,South Africa,5,5,0,174,91,34.80,187,93.04,0,1,0,16,7,Pakistan
Shubman Gill ,India,2,2,0,174,121,87.00,188,92.55,1,1,0,13,7,Bangladesh
BA King ,West Indies,9,9,0,173,54,19.22,218,79.35,0,1,2,19,4,India
EJG Morgan ,England,5,4,2,173,76,86.50,142,121.83,0,2,0,12,7,Pakistan
T Bavuma ,South Africa,5,5,0,172,110,34.40,222,77.47,1,0,0,15,0,India
Q de Kock ,South Africa,4,4,0,171,80,42.75,178,96.06,0,1,0,21,4,Pakistan
Shakib Al Hasan ,Bangladesh,5,5,1,171,77,42.75,178,96.06,0,2,1,17,4,South Africa
MM Ali ,England,7,6,0,169,47,28.16,219,77.16,0,0,0,10,7,India
DM de Silva ,Sri Lanka,8,8,1,169,47,24.14,226,74.77,0,0,1,18,0,India
PSP Handscomb ,Australia,3,3,0,169,117,56.33,167,101.19,1,1,1,12,3,India
DA Miller ,South Africa,5,4,1,167,79,55.66,146,114.38,0,1,0,13,7,Bangladesh
H Klaasen ,South Africa,7,6,1,166,74*,33.20,175,94.85,0,1,0,16,4,India
Abdullah Shafique ,Pakistan,2,2,0,165,113,82.50,172,95.93,1,1,0,13,5,Sri Lanka
AT Carey ,Australia,9,7,1,165,56,27.50,186,88.70,0,2,1,11,2,Pakistan
SD Hope ,West Indies,6,6,0,165,68,27.50,270,61.11,0,1,0,15,1,Australia
Litton Das ,Bangladesh,6,6,0,165,66,27.50,220,75.00,0,1,1,15,3,India
SPD Smith ,Australia,6,6,0,165,76,27.50,221,74.66,0,1,0,14,0,South Africa
JM Bairstow ,England,8,6,0,163,63,27.16,159,102.51,0,1,1,20,4,South Africa
SD Hope ,West Indies,4,4,0,163,127,40.75,182,89.56,1,0,0,21,1,Pakistan
SPD Smith ,Australia,4,4,2,163,79*,81.50,195,83.58,0,2,0,17,0,West Indies
JN Malan ,South Africa,3,3,0,162,121,54.00,185,87.56,1,0,0,14,1,Sri Lanka
S Samarawickrama ,Sri Lanka,3,3,0,162,108,54.00,154,105.19,1,0,0,16,2,Pakistan
RG Sharma ,India,2,2,1,162,122*,162.00,168,96.42,1,0,0,19,4,South Africa
M Jansen ,South Africa,7,6,0,160,47,26.66,130,123.07,0,0,1,14,8,Australia
JN Malan ,South Africa,6,6,0,160,91,26.66,224,71.42,0,1,0,19,1,India
DA Miller ,South Africa,4,4,1,160,50*,53.33,153,104.57,0,2,0,13,5,Pakistan
Shakib Al Hasan ,Bangladesh,3,3,0,160,64,53.33,198,80.80,0,2,0,17,0,Pakistan
Tamim Iqbal ,Bangladesh,6,5,0,160,78,32.00,228,70.17,0,1,0,22,1,New Zealand
AT Carey ,Australia,4,4,0,157,67,39.25,207,75.84,0,1,0,16,2,West Indies
MS Chapman ,New Zealand,6,6,0,157,46,26.16,131,119.84,0,0,0,18,5,Pakistan
Mahmudullah ,Bangladesh,4,4,0,157,77,39.25,193,81.34,0,1,0,11,4,India
Mehidy Hasan Miraz ,Bangladesh,5,5,2,157,100*,52.33,168,93.45,1,0,0,13,6,India
SW Ambris ,West Indies,6,6,1,156,69*,31.20,181,86.18,0,1,0,18,1,Bangladesh
Asif Ali ,Pakistan,6,5,0,156,52,31.20,119,131.09,0,2,0,7,9,England
DM de Silva ,Sri Lanka,7,7,0,156,44,22.28,243,64.19,0,0,0,14,0,South Africa
M Labuschagne ,Australia,6,6,0,156,40,26.00,236,66.10,0,0,0,6,0,Sri Lanka
MR Marsh ,Australia,5,5,0,156,73,31.20,189,82.53,0,2,0,9,4,England
KR Mayers ,West Indies,6,6,0,156,75,26.00,139,112.23,0,1,1,21,4,India
R Powell ,West Indies,6,6,0,156,47,26.00,205,76.09,0,0,0,8,6,Bangladesh
Najmul Hossain Shanto ,Bangladesh,5,5,1,155,76,38.75,156,99.35,0,2,0,22,0,New Zealand
SPD Smith ,Australia,4,4,0,154,73,38.50,159,96.85,0,2,1,15,1,Sri Lanka
CR Woakes ,England,8,7,1,154,53*,25.66,171,90.05,0,1,1,18,1,Australia
AT Carey ,Australia,6,6,1,153,49,30.60,182,84.06,0,0,0,8,1,Sri Lanka
JL Denly ,England,3,2,0,153,87,76.50,182,84.06,0,2,0,12,5,South Africa
BA Stokes ,England,3,2,0,153,89,76.50,205,74.63,0,2,0,10,5,Australia
JN Malan ,South Africa,3,3,1,152,129*,76.00,166,91.56,1,0,1,11,4,Australia
LS Livingstone ,England,6,6,1,150,36,30.00,170,88.23,0,0,1,11,7,India
MDKJ Perera ,Sri Lanka,4,4,0,150,64,37.50,157,95.54,0,1,1,16,0,West Indies
Umar Akmal ,Pakistan,5,5,0,150,48,30.00,170,88.23,0,0,0,8,3,Australia
DM de Silva ,Sri Lanka,6,6,1,149,60,29.80,179,83.24,0,1,0,16,1,Australia
MJ Santner ,New Zealand,11,7,2,149,57,29.80,140,106.42,0,1,0,15,4,India
RR Hendricks ,South Africa,5,5,0,148,74,29.60,210,70.47,0,2,1,19,1,India
JJ Roy ,England,7,7,0,148,85,21.14,161,91.92,0,1,2,19,5,Australia
KS Williamson ,New Zealand,5,5,0,148,45,29.60,262,56.48,0,0,0,9,2,Australia
SA Yadav ,India,7,7,1,148,72*,24.66,124,119.35,0,2,3,13,7,Australia
MD Gunathilaka ,Sri Lanka,2,2,0,147,133,73.50,153,96.07,1,0,0,18,1,Pakistan
JE Root ,England,7,7,0,147,77,21.00,205,71.70,0,1,1,8,2,New Zealand
P Nissanka ,Sri Lanka,4,4,0,146,104,36.50,167,87.42,1,0,0,19,0,West Indies
R Ravindra ,New Zealand,4,3,0,145,108,48.33,123,117.88,1,0,0,19,1,Pakistan
Tamim Iqbal ,Bangladesh,4,4,1,145,87*,48.33,182,79.67,0,1,0,19,1,South Africa
T Bavuma ,South Africa,1,1,0,144,144,144.00,118,122.03,1,0,0,11,7,West Indies
SD Hope ,West Indies,3,2,1,144,128*,144.00,142,101.40,1,0,0,6,7,South Africa
GD Phillips ,New Zealand,4,4,1,144,63*,48.00,128,112.50,0,1,0,9,7,Pakistan
Mohammad Hafeez ,Pakistan,3,3,0,143,84,47.66,120,119.16,0,2,1,10,5,England
T Bavuma ,South Africa,4,4,0,141,92,35.25,156,90.38,0,1,0,15,1,Pakistan
JC Buttler ,England,8,8,0,141,60,17.62,173,81.50,0,1,1,13,4,India
