Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
Mohammad Nawaz ,Pakistan,3,3,30.0,1,136,7,4/19,19.42,4.53,25.7,1,0,West Indies
Mohammed Siraj ,India,4,4,35.0,4,179,7,4/46,25.57,5.11,30.0,1,0,New Zealand
JDS Neesham ,New Zealand,4,4,26.4,2,151,7,5/27,21.57,5.66,22.8,0,1,Bangladesh
A Nortje ,South Africa,2,2,20.0,1,114,7,4/51,16.28,5.70,17.1,1,0,Pakistan
M Pathirana ,Sri Lanka,2,2,16.5,1,90,7,4/32,12.85,5.34,14.4,1,0,Bangladesh
AL Phehlukwayo ,South Africa,6,6,42.5,0,261,7,2/22,37.28,6.09,36.7,0,0,Australia
Shadab Khan ,Pakistan,4,3,28.0,2,139,7,4/62,19.85,4.96,24.0,1,0,West Indies
Shaheen Shah Afridi ,Pakistan,3,3,26.0,2,150,7,4/35,21.42,5.76,22.2,1,0,India
MD Shanaka ,Sri Lanka,5,4,25.0,0,109,7,3/27,15.57,4.36,21.4,0,0,Bangladesh
Shakib Al Hasan ,Bangladesh,5,5,50.0,0,267,7,4/35,38.14,5.34,42.8,1,0,England
Shakib Al Hasan ,Bangladesh,6,6,59.0,2,260,7,2/29,37.14,4.40,50.5,0,0,Sri Lanka
R Shepherd ,West Indies,5,5,36.0,1,224,7,3/37,32.00,6.22,30.8,0,0,India
Shoriful Islam ,Bangladesh,5,5,35.3,0,208,7,2/48,29.71,5.85,30.4,0,0,Sri Lanka
IS Sodhi ,New Zealand,8,8,72.0,1,431,7,2/38,61.57,5.98,61.7,0,0,Pakistan
TG Southee ,New Zealand,4,4,29.1,1,171,7,3/56,24.42,5.86,25.0,0,0,Pakistan
TG Southee ,New Zealand,3,3,27.0,3,108,7,4/22,15.42,4.00,23.1,1,0,West Indies
MP Stoinis ,Australia,8,7,44.3,1,267,7,2/27,38.14,6.00,38.1,0,0,India
SN Thakur ,India,3,3,23.3,0,158,7,4/67,22.57,6.72,20.1,1,0,England
M Theekshana ,Sri Lanka,3,3,26.0,1,132,7,3/69,18.85,5.07,22.2,0,0,Bangladesh
HR Walsh ,West Indies,4,4,34.3,0,153,7,5/39,21.85,4.43,29.5,0,1,Australia
DJ Willey ,England,4,4,39.0,1,254,7,3/56,36.28,6.51,33.4,0,0,Pakistan
CR Woakes ,England,5,5,38.0,1,184,7,3/31,26.28,4.84,32.5,0,0,New Zealand
CR Woakes ,England,4,4,31.0,8,98,7,4/18,14.00,3.16,26.5,1,0,Sri Lanka
MA Wood ,England,5,5,47.0,1,268,7,3/54,38.28,5.70,40.2,0,0,Australia
SA Abbott ,Australia,3,3,23.4,0,96,6,3/40,16.00,4.05,23.6,0,0,West Indies
AC Agar ,Australia,5,5,48.0,1,242,6,2/41,40.33,5.04,48.0,0,0,India
MM Ali ,England,6,6,50.0,0,301,6,3/50,50.16,6.02,50.0,0,0,Pakistan
MM Ali ,England,8,8,54.2,1,328,6,2/22,54.66,6.03,54.3,0,0,South Africa
AAP Atkinson ,England,3,3,22.4,0,148,6,2/28,24.66,6.52,22.6,0,0,West Indies
Avesh Khan ,India,6,6,43.5,4,209,6,4/27,34.83,4.76,43.8,1,0,South Africa
HK Bennett ,New Zealand,3,3,29.0,1,199,6,4/64,33.16,6.86,29.0,1,0,India
JJ Bumrah ,India,2,2,20.0,2,96,6,4/55,16.00,4.80,20.0,1,0,Bangladesh
BA Carse ,England,3,3,25.0,0,136,6,5/61,22.66,5.44,25.0,0,1,Pakistan
YS Chahal ,India,4,4,39.0,0,198,6,4/51,33.00,5.07,39.0,1,0,South Africa
YS Chahal ,India,3,3,30.0,1,160,6,3/50,26.66,5.33,30.0,0,0,Sri Lanka
SS Cottrell ,West Indies,4,4,40.0,1,263,6,4/67,43.83,6.57,40.0,1,0,Sri Lanka
PJ Cummins ,Australia,3,3,24.0,3,105,6,3/25,17.50,4.37,24.0,0,0,New Zealand
SM Curran ,England,8,8,49.0,2,278,6,3/35,46.33,5.67,49.0,0,0,South Africa
TK Curran ,England,3,3,26.0,0,189,6,4/75,31.50,7.26,26.0,1,0,Pakistan
DM de Silva ,Sri Lanka,8,8,54.0,0,243,6,3/45,40.50,4.50,54.0,0,0,Bangladesh
LH Ferguson ,New Zealand,5,4,32.1,1,143,6,3/49,23.83,4.44,32.1,0,0,Bangladesh
Haris Rauf ,Pakistan,2,2,14.0,0,55,6,4/19,9.16,3.92,14.0,1,0,Bangladesh
MJ Henry ,New Zealand,3,3,26.2,0,150,6,3/33,25.00,5.69,26.3,0,0,Australia
MJ Henry ,New Zealand,3,3,23.0,4,55,6,3/14,9.16,2.39,23.0,0,0,Sri Lanka
