Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
Nasum Ahmed ,Bangladesh,5,5,18.0,1,92,8,4/19,11.50,5.11,13.5,1,0,Australia
A Nortje ,South Africa,7,7,25.0,0,165,8,2/29,20.62,6.60,18.7,0,0,West Indies
HH Pandya ,India,8,8,27.0,0,214,8,4/33,26.75,7.92,20.2,1,0,England
D Pretorius ,South Africa,8,7,22.3,0,206,8,3/26,25.75,9.15,16.8,0,0,India
AU Rashid ,England,7,6,23.0,0,173,8,3/21,21.62,7.52,17.2,0,0,Australia
MJ Santner ,New Zealand,6,6,18.0,0,140,8,3/15,17.50,7.77,13.5,0,0,West Indies
Shadab Khan ,Pakistan,7,7,27.0,1,187,8,2/22,23.37,6.92,20.2,0,0,Bangladesh
Shaheen Shah Afridi ,Pakistan,4,4,16.0,0,82,8,4/22,10.25,5.12,12.0,1,0,Bangladesh
Shaheen Shah Afridi ,Pakistan,8,8,23.3,0,204,8,3/30,25.50,8.68,17.6,0,0,England
Shaheen Shah Afridi ,Pakistan,8,8,29.0,1,230,8,3/14,28.75,7.93,21.7,0,0,South Africa
T Shamsi ,South Africa,8,8,27.0,0,177,8,2/13,22.12,6.55,20.2,0,0,West Indies
MD Shanaka ,Sri Lanka,13,8,18.0,0,137,8,2/4,17.12,7.61,13.5,0,0,India
R Shepherd ,West Indies,6,6,17.0,0,179,8,3/59,22.37,10.52,12.7,0,0,England
Shoriful Islam ,Bangladesh,5,5,14.0,0,92,8,2/19,11.50,6.57,10.5,0,0,Australia
MA Starc ,Australia,7,7,28.0,0,234,8,4/20,29.25,8.35,21.0,1,0,West Indies
SN Thakur ,India,5,5,17.2,0,168,8,3/42,21.00,9.69,13.0,0,0,England
SN Thakur ,India,6,6,17.3,0,174,8,2/21,21.75,9.94,13.1,0,0,New Zealand
M Theekshana ,Sri Lanka,10,10,38.0,0,258,8,3/24,32.25,6.78,28.5,0,0,Australia
DJ Willey ,England,9,9,31.3,0,267,8,2/22,33.37,8.47,23.6,0,0,Pakistan
JC Archer ,England,5,5,20.0,1,155,7,4/33,22.14,7.75,17.1,1,0,India
YS Chahal ,India,5,5,18.0,0,161,7,2/10,23.00,8.94,15.4,0,0,England
YS Chahal ,India,9,9,33.0,1,258,7,2/26,36.85,7.81,28.2,0,0,New Zealand
PVD Chameera ,Sri Lanka,4,4,15.1,0,113,7,4/17,16.14,7.45,13.0,1,0,England
RL Chase ,West Indies,5,5,20.0,0,115,7,3/25,16.42,5.75,17.1,0,0,India
SS Cottrell ,West Indies,5,5,18.5,0,162,7,3/28,23.14,8.60,16.1,0,0,Australia
TK Curran ,England,6,6,21.0,0,235,7,2/33,33.57,11.19,18.0,0,0,South Africa
NT Ellis ,Australia,5,5,20.0,0,197,7,3/30,28.14,9.85,17.1,0,0,India
LH Ferguson ,New Zealand,6,6,23.0,0,209,7,2/25,29.85,9.08,19.7,0,0,England
N Pradeep ,Sri Lanka,2,2,7.0,0,46,7,4/25,6.57,6.57,6.0,1,0,Pakistan
PW Hasaranga ,Sri Lanka,5,5,19.0,0,118,7,3/21,16.85,6.21,16.2,0,0,England
PW Hasaranga ,Sri Lanka,7,7,24.4,0,180,7,2/21,25.71,7.29,21.1,0,0,New Zealand
CJ Jordan ,England,6,6,19.5,0,169,7,3/23,24.14,8.52,17.0,0,0,New Zealand
C Karunaratne ,Sri Lanka,10,10,32.4,0,295,7,2/27,42.14,9.03,28.0,0,0,India
CBRLS Kumara ,Sri Lanka,6,5,18.2,0,189,7,2/31,27.00,10.30,15.7,0,0,India
OC McCoy ,West Indies,3,3,8.0,0,68,7,4/26,9.71,8.50,6.8,1,0,Australia
SL Malinga ,Sri Lanka,3,3,12.0,1,68,7,5/6,9.71,5.66,10.2,0,1,New Zealand
CE McConchie ,New Zealand,5,5,18.1,0,117,7,3/15,16.71,6.44,15.5,0,0,Bangladesh
AF Milne ,New Zealand,3,3,12.0,1,98,7,5/26,14.00,8.16,10.2,0,1,Sri Lanka
Mohammad Nawaz ,Pakistan,7,7,26.0,0,220,7,2/18,31.42,8.46,22.2,0,0,New Zealand
Mohammed Siraj ,India,3,3,12.0,1,80,7,4/17,11.42,6.66,10.2,1,0,New Zealand
Mustafizur Rahman ,Bangladesh,6,6,19.0,1,92,7,3/23,13.14,4.84,16.2,0,0,Australia
JDS Neesham ,New Zealand,12,8,26.0,0,233,7,3/38,33.28,8.96,22.2,0,0,Pakistan
L Ngidi ,South Africa,6,6,22.0,0,242,7,3/32,34.57,11.00,18.8,0,0,West Indies
A Nortje ,South Africa,2,2,6.5,0,18,7,4/10,2.57,2.63,5.8,1,0,Bangladesh
HH Pandya ,India,4,3,12.0,0,99,7,3/25,14.14,8.25,10.2,0,0,Pakistan
WD Parnell ,South Africa,7,7,28.0,1,211,7,3/15,30.14,7.53,24.0,0,0,India
AR Patel ,India,7,6,18.0,1,156,7,3/15,22.28,8.66,15.4,0,0,West Indies
AL Phehlukwayo ,South Africa,2,2,7.0,0,49,7,4/24,7.00,7.00,6.0,1,0,Sri Lanka
K Rabada ,South Africa,10,10,36.0,1,272,7,3/39,38.85,7.55,30.8,0,0,India
AU Rashid ,England,9,9,33.0,0,297,7,2/18,42.42,9.00,28.2,0,0,New Zealand
AU Rashid ,England,10,10,36.0,0,289,7,2/17,41.28,8.02,30.8,0,0,South Africa
AU Rashid ,England,5,5,17.0,0,85,7,2/17,12.14,5.00,14.5,0,0,Sri Lanka
KW Richardson ,Australia,5,5,15.0,0,137,7,3/19,19.57,9.13,12.8,0,0,New Zealand
AD Russell ,West Indies,6,5,18.5,0,197,7,3/19,28.14,10.46,16.1,0,0,England
PADLR Sandakan ,Sri Lanka,4,4,13.4,0,94,7,3/10,13.42,6.87,11.7,0,0,West Indies
Shakib Al Hasan ,Bangladesh,5,5,19.4,1,127,7,4/9,18.14,6.45,16.8,1,0,Australia
OF Smith ,West Indies,3,3,11.0,0,91,7,3/29,13.00,8.27,9.4,0,0,New Zealand
BM Tickner ,New Zealand,5,5,18.3,0,170,7,3/33,24.28,9.18,15.8,0,0,Pakistan
Umran Malik ,India,3,3,11.0,0,106,7,3/48,15.14,9.63,9.4,0,0,Sri Lanka
LB Williams ,South Africa,4,4,15.4,0,147,7,3/35,21.00,9.38,13.4,0,0,Pakistan
A Zampa ,Australia,5,5,17.3,0,119,7,2/9,17.00,6.80,15.0,0,0,South Africa
AC Agar ,Australia,4,4,14.4,0,109,6,2/27,18.16,7.43,14.6,0,0,England
Rehan Ahmed ,England,4,4,15.0,0,164,6,3/39,27.33,10.93,15.0,0,0,West Indies
Arshdeep Singh ,India,3,3,11.4,0,92,6,3/32,15.33,7.88,11.6,0,0,Pakistan
AAP Atkinson ,England,2,2,6.5,0,51,6,4/20,8.50,7.46,6.8,1,0,New Zealand
JP Behrendorff ,Australia,4,4,16.0,2,107,6,2/32,17.83,6.68,16.0,0,0,India
HK Bennett ,New Zealand,5,5,19.0,0,181,6,3/54,30.16,9.52,19.0,0,0,India
TA Boult ,New Zealand,4,4,16.0,0,118,6,3/20,19.66,7.37,16.0,0,0,India
DJ Bravo ,West Indies,6,6,24.0,0,189,6,2/25,31.50,7.87,24.0,0,0,Sri Lanka
YS Chahal ,India,6,6,20.2,0,193,6,3/25,32.16,9.49,20.3,0,0,Australia
YS Chahal ,India,5,4,14.1,0,116,6,3/20,19.33,8.18,14.1,0,0,South Africa
PVD Chameera ,Sri Lanka,6,6,22.1,0,163,6,2/24,27.16,7.35,22.1,0,0,India
SM Curran ,England,4,4,13.0,0,74,6,2/14,12.33,5.69,13.0,0,0,Sri Lanka
SM Curran ,England,5,5,11.1,0,133,6,2/25,22.16,11.91,11.1,0,0,West Indies
TK Curran ,England,6,5,20.0,0,175,6,2/47,29.16,8.75,20.0,0,0,Pakistan
A Dananjaya ,Sri Lanka,3,3,11.0,0,94,6,3/36,15.66,8.54,11.0,0,0,New Zealand
LH Ferguson ,New Zealand,3,3,10.5,0,55,6,4/12,9.16,5.07,10.8,1,0,Australia
Haris Rauf ,Pakistan,7,7,27.0,0,196,6,1/13,32.66,7.25,27.0,0,0,Bangladesh
Haris Rauf ,Pakistan,6,6,19.3,0,209,6,2/18,34.83,10.71,19.5,0,0,South Africa
PW Hasaranga ,Sri Lanka,4,4,16.0,0,100,6,3/20,16.66,6.25,16.0,0,0,South Africa
JR Hazlewood ,Australia,4,4,16.0,1,105,6,3/16,17.50,6.56,16.0,0,0,New Zealand
CJ Jordan ,England,7,6,21.0,0,180,6,2/27,30.00,8.57,21.0,0,0,Pakistan
CJ Jordan ,England,7,7,19.0,0,163,6,4/6,27.16,8.57,19.0,1,0,West Indies
AS Joseph ,West Indies,3,3,11.3,0,143,6,3/39,23.83,12.43,11.5,0,0,England
AS Joseph ,West Indies,2,2,6.0,0,61,6,5/40,10.16,10.16,6.0,0,1,South Africa
Kuldeep Yadav ,India,2,2,5.5,0,43,6,5/17,7.16,7.37,5.8,0,1,South Africa
B Kumar ,India,4,4,15.0,0,113,6,4/26,18.83,7.53,15.0,1,0,Pakistan
B Kumar ,India,6,5,17.4,0,106,6,4/13,17.66,6.00,17.6,1,0,South Africa
GF Linde ,South Africa,5,5,16.0,0,125,6,2/16,20.83,7.81,16.0,0,0,West Indies
Mohammad Nawaz ,Pakistan,3,3,11.4,0,100,6,3/33,16.66,8.57,11.6,0,0,India
T Natarajan ,India,3,3,12.0,0,83,6,3/30,13.83,6.91,12.0,0,0,Australia
A Nortje ,South Africa,9,8,26.0,0,239,6,2/36,39.83,9.19,26.0,0,0,India
HH Pandya ,India,9,9,27.0,0,198,6,3/35,33.00,7.33,27.0,0,0,West Indies
Pramod Madushan ,Sri Lanka,2,2,6.1,0,55,6,4/34,9.16,8.91,6.1,1,0,Pakistan
D Pretorius ,South Africa,3,3,9.0,0,63,6,5/17,10.50,7.00,9.0,0,1,Pakistan
D Pretorius ,South Africa,6,5,13.0,0,91,6,3/17,15.16,7.00,13.0,0,0,Sri Lanka
R Ravindra ,New Zealand,5,5,19.0,0,83,6,3/22,13.83,4.36,19.0,0,0,Bangladesh
JA Richardson ,Australia,4,4,16.0,0,130,6,3/26,21.66,8.12,16.0,0,0,Sri Lanka
KW Richardson ,Australia,3,3,11.0,0,85,6,3/18,14.16,7.72,11.0,0,0,Pakistan
MJ Santner ,New Zealand,4,4,16.0,1,89,6,3/12,14.83,5.56,16.0,0,0,Sri Lanka
T Shamsi ,South Africa,6,6,24.0,0,177,6,2/31,29.50,7.37,24.0,0,0,Australia
R Shepherd ,West Indies,3,3,9.0,0,68,6,3/21,11.33,7.55,9.0,0,0,Bangladesh
IS Sodhi ,New Zealand,7,6,21.0,0,162,6,4/28,27.00,7.71,21.0,1,0,Bangladesh
TG Southee ,New Zealand,5,5,19.0,0,188,6,2/22,31.33,9.89,19.0,0,0,West Indies
MA Starc ,Australia,4,4,15.0,0,114,6,2/22,19.00,7.60,15.0,0,0,Pakistan
MA Starc ,Australia,4,4,13.3,0,116,6,3/23,19.33,8.59,13.5,0,0,South Africa
BA Stokes ,England,6,5,14.0,0,115,6,2/26,19.16,8.21,14.0,0,0,South Africa
O Thomas ,West Indies,2,2,7.0,0,52,6,5/28,8.66,7.42,7.0,0,1,Sri Lanka
Usman Qadir ,Pakistan,5,5,17.0,0,140,6,2/21,23.33,8.23,17.0,0,0,South Africa
DJ Willey ,England,2,2,6.0,0,25,6,4/7,4.16,4.16,6.0,1,0,West Indies
MA Wood ,England,5,4,16.0,0,128,6,3/34,21.33,8.00,16.0,0,0,Australia
MA Wood ,England,2,2,8.0,0,44,6,3/20,7.33,5.50,8.0,0,0,Pakistan
MA Wood ,England,3,3,11.0,0,77,6,3/26,12.83,7.00,11.0,0,0,Sri Lanka
A Zampa ,Australia,6,6,19.5,0,203,6,2/26,33.83,10.23,19.8,0,0,England
A Zampa ,Australia,7,7,25.0,0,206,6,3/16,34.33,8.24,25.0,0,0,India
Abbas Afridi ,Pakistan,3,3,9.0,0,81,5,3/34,16.20,9.00,10.8,0,0,New Zealand
MM Ali ,England,14,8,16.0,0,150,5,2/32,30.00,9.37,19.2,0,0,Pakistan
MM Ali ,England,7,7,17.0,0,144,5,1/4,28.80,8.47,20.4,0,0,South Africa
FA Allen ,West Indies,6,5,17.0,1,131,5,2/29,26.20,7.70,20.4,0,0,England
DL Chahar ,India,5,5,19.0,1,133,5,2/22,26.60,7.00,22.8,0,0,South Africa
PVD Chameera ,Sri Lanka,4,4,15.0,0,119,5,2/23,23.80,7.93,18.0,0,0,West Indies
SS Cottrell ,West Indies,7,7,22.0,1,180,5,2/30,36.00,8.18,26.4,0,0,England
PJ Cummins ,Australia,4,4,13.0,0,88,5,2/13,17.60,6.76,15.6,0,0,South Africa
PJ Cummins ,Australia,3,3,12.0,0,91,5,2/22,18.20,7.58,14.4,0,0,West Indies
SM Curran ,England,2,2,8.0,0,60,5,3/25,12.00,7.50,9.6,0,0,Australia
BJ Dwarshuis ,Australia,2,2,8.0,0,70,5,3/40,14.00,8.75,9.6,0,0,India
NT Ellis ,Australia,2,2,8.0,0,50,5,3/34,10.00,6.25,9.6,0,0,Bangladesh
Faheem Ashraf ,Pakistan,8,8,18.4,0,135,5,3/20,27.00,7.23,22.4,0,0,New Zealand
Faheem Ashraf ,Pakistan,7,7,19.0,0,178,5,3/17,35.60,9.36,22.8,0,0,South Africa
LH Ferguson ,New Zealand,7,7,22.0,1,220,5,2/33,44.00,10.00,26.4,0,0,India
LH Ferguson ,New Zealand,4,4,16.0,0,116,5,2/25,23.20,7.25,19.2,0,0,Pakistan
BC Fortuin ,South Africa,3,3,12.0,0,57,5,2/12,11.40,4.75,14.4,0,0,Sri Lanka
Haris Rauf ,Pakistan,2,2,7.0,0,48,5,3/29,9.60,6.85,8.4,0,0,Sri Lanka
DJ Hooda ,India,5,4,9.5,0,44,5,4/10,8.80,4.47,11.8,1,0,New Zealand
RA Jadeja ,India,6,6,18.0,1,113,5,1/13,22.60,6.27,21.6,0,0,West Indies
CJ Jordan ,England,5,5,16.3,0,138,5,3/17,27.60,8.36,19.8,0,0,Australia
CJ Jordan ,England,4,4,16.0,1,97,5,2/24,19.40,6.06,19.2,0,0,Sri Lanka
SC Kuggeleijn ,New Zealand,3,3,11.0,0,100,5,3/27,20.00,9.09,13.2,0,0,Pakistan
CBRLS Kumara ,Sri Lanka,5,5,18.3,0,175,5,2/22,35.00,9.45,22.2,0,0,Australia
BG Lister ,New Zealand,3,3,12.0,0,106,5,2/26,21.20,8.83,14.4,0,0,Sri Lanka
LS Livingstone ,England,6,5,16.0,0,144,5,2/22,28.80,9.00,19.2,0,0,New Zealand
TS Mills ,England,7,7,22.1,0,219,5,2/17,43.80,9.87,26.6,0,0,West Indies
